,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_1029__EN_L3_5_IT_2,4.738367735681445,6.312188325250626,5.94901904728638,2.0362236582899023,0.8468653324527109,2.0362236582899023,2.196551675242958,3.7758453311929423,3.319498645546664,0.0,0.8468653324527109,3.5353817108695207,EN_L3_5_IT_2,44.0,PsychAD-V3,45,20+,5.666525036072817,1.882259204183474,3.7842658318893427
Donor_1029__EN_L3_5_IT_3,4.380833002774751,5.97075384999022,6.440987771698764,1.9394696846141157,0.9117867658575924,1.698601277806421,1.826270215934859,3.583129612557344,2.6140695722565166,0.55640074065364,0.55640074065364,2.8970605682221886,EN_L3_5_IT_3,44.0,PsychAD-V3,58,20+,5.597524874821246,1.710766076291766,3.8867587985294794
Donor_1030__EN_L2_3_IT,4.4979786275891085,6.236248296971685,5.997669419764346,2.0696734393799323,1.1961659706666832,1.7254101962119084,1.4953993630168152,4.641307575040515,3.2726641650314496,0.0,1.1961659706666832,3.5726595780695343,EN_L2_3_IT,36.0,PsychAD-V3,35,20+,5.577298781441713,1.9495983350017485,3.6277004464399645
Donor_1059__EN_L2_3_IT,4.116424905137776,6.355924900197446,5.989565403513692,1.4063834105008888,1.3414028225797028,1.9688363996136349,1.8944378026556097,3.8159565677859506,2.102839877476019,0.2285402143958279,0.7065846206579618,3.670151310989046,EN_L2_3_IT,70.0,PsychAD-V3,135,20+,5.487305069616305,1.6831227144581995,3.8041823551581055
Donor_1059__EN_L3_5_IT_2,4.112172517193123,6.2881918670402985,5.666520403957048,0.0,1.5116210196152595,1.5116210196152595,1.5116210196152595,3.5929396088206436,2.9269379531746695,0.0,0.0,3.6404185651014807,EN_L3_5_IT_2,70.0,PsychAD-V3,22,20+,5.355628262730157,1.3818425776051364,3.9737856851250206
Donor_1059__EN_L3_5_IT_3,4.1999249796396265,6.093609472179438,6.2593907864080665,2.29009290841952,2.091948521187877,1.8445911559379358,1.5152024115564315,3.3188140266909882,2.091948521187877,0.0,1.5152024115564315,2.455394264233203,EN_L3_5_IT_3,70.0,PsychAD-V3,22,20+,5.51764174607571,1.833474994567133,3.684166751508577
Donor_1087__EN_L2_3_IT,4.235222591865484,6.4139336386873484,5.847856971364303,1.8092356958085125,0.9939649724420971,2.6220889953867195,2.055111105217815,4.91488139685373,2.7386682327864675,0.0,0.9939649724420971,4.1584341394200175,EN_L2_3_IT,89.0,PsychAD-V3,84,20+,5.499004400639045,2.01598942136718,3.4830149792718648
Donor_1092__EN_L2_3_IT,4.240633468269839,5.870032108108193,5.754970391774878,1.6635926311345044,1.236839238219047,1.6635926311345044,0.47696502011657427,3.7217746156452423,2.1911284889633595,0.0,0.7985670703088333,3.9577394043162397,EN_L2_3_IT,14.0,PsychAD-V3,89,10-20,5.288545322717637,1.4690574619402579,3.819487860777379
Donor_1092__EN_L3_5_IT_2,4.359483158879004,6.372078435207731,5.404273113972785,1.273654623205959,1.273654623205959,1.8160910233483052,1.273654623205959,3.8571447457994763,2.9453453903199147,0.0,0.0,3.67903993402222,EN_L3_5_IT_2,14.0,PsychAD-V3,21,10-20,5.378611569353173,1.5549431286356965,3.8236684407174764
Donor_1092__EN_L3_5_IT_3,4.564479572516013,6.044460485781095,6.1896948539372065,2.1697542214470444,1.5847487997920366,1.5847487997920366,0.0,3.7309732346373607,2.536407229548231,1.078080590748684,0.0,3.5252881779228575,EN_L3_5_IT_3,14.0,PsychAD-V3,25,10-20,5.599544970744771,1.5855891094956742,4.013955861249096
Donor_1101__EN_L2_3_IT,4.4683297552671855,6.095618893489759,5.6967206541528945,1.6696948213764735,1.4428897383874166,2.3184497934418493,1.1490751617259318,3.9233840075773427,2.634162559278078,0.7312310559877624,1.1490751617259318,4.014952347673517,EN_L2_3_IT,75.0,PsychAD-V3,53,20+,5.420223100969946,1.8772452874375984,3.5429778135323478
