,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_1152__EN_L3_5_IT_1,4.563277758864533,6.404653462636743,5.6028332620629895,1.2908940577762331,1.6002062098442011,2.026843425714889,1.6002062098442011,3.4853066144199003,2.186961849401523,0.0,1.2908940577762331,3.795367672380346,EN_L3_5_IT_1,18.0,PsychAD-V3,26,10-20,5.523588161188088,1.6851640530971477,3.8384241080909405
Donor_1152__EN_L3_5_IT_2,4.4663412654856245,6.241273971467183,5.970174470300456,1.7836953090945,1.882633430954146,2.5463582094948287,1.882633430954146,2.973961297836052,2.8742625556728605,0.48179397476290137,0.805561341552794,3.4833236479940033,EN_L3_5_IT_2,18.0,PsychAD-V3,63,10-20,5.5592632357510885,1.9038624437902785,3.65540079196081
Donor_1152__EN_L3_5_IT_3,4.374731538042111,6.048143096612713,6.870344357507057,1.5642743365913643,0.6651598616566137,1.5642743365913643,2.029937404955844,2.966490222733597,2.029937404955844,0.0,1.2125370728060978,2.750114408252119,EN_L3_5_IT_3,18.0,PsychAD-V3,57,10-20,5.764406330720628,1.5040763300363407,4.260330000684287
Donor_1153__EN_L2_3_IT,4.0503040758405335,6.274568438290493,5.564181510470695,1.9522407756222473,0.5137849041964793,2.6218033324127603,1.4720202416670387,4.495935575184157,2.0433040080570533,0.5137849041964793,0.5137849041964793,3.5432843085930226,EN_L2_3_IT,36.0,PsychAD-V3,50,20+,5.296351341533907,1.7658323306915866,3.530519010842321
Donor_1153__EN_L3_5_IT_3,4.551672586088503,6.0080107842444725,5.861649294374198,1.8946242974120309,1.4793359916792668,2.051563972264025,1.7083850333695918,4.620756889743836,2.509607310221365,0.0,0.0,2.7530317684657546,EN_L3_5_IT_3,36.0,PsychAD-V3,37,20+,5.473777554902391,1.7830341868362645,3.6907433680661264
Donor_1153__EN_L6B,4.026563433405527,6.657798018570464,5.747832294876742,1.8728462273699549,0.0,2.692393246841299,0.8657119055526648,4.549820547565446,1.8728462273699549,0.8657119055526648,0.8657119055526648,4.881181363658813,EN_L6B,36.0,PsychAD-V3,24,20+,5.477397915617577,1.6981302457255811,3.779267669891996
Donor_1153__EN_L6_IT_1,4.578849100007783,6.43089397818428,5.947183799138575,1.9318369144662033,1.5963090803393352,2.3829627158404403,1.5963090803393352,4.6565455694067985,3.1197764148549827,0.0,1.0876836000838288,4.188501811677568,EN_L6_IT_1,36.0,PsychAD-V3,21,20+,5.652308959110212,2.0464279219163655,3.605881037193847
Donor_1157__EN_L2_3_IT,4.0820970024455665,6.189726674145149,5.939072493696854,1.461565273180283,1.2422199628267232,2.1370995447923717,1.5002003589766926,3.5927957191770368,2.368680930284544,0.2924939237530525,0.7439519504029354,4.007743477995995,EN_L2_3_IT,50.0,PsychAD-V3,303,20+,5.403632056762523,1.667375957924205,3.736256098838318
Donor_1157__EN_L3_5_IT_1,4.477881202975586,6.439232323733989,5.4079207171077375,1.2805019050078292,1.2805019050078292,1.588759178613637,2.7272938111190763,3.944871232891358,2.638501943326487,0.0,0.0,3.5109651772831176,EN_L3_5_IT_1,50.0,PsychAD-V3,25,20+,5.441678081272438,1.6825537469957772,3.759124334276661
Donor_1157__EN_L3_5_IT_2,4.4405958734045425,6.262724032459312,5.732026128592683,1.3365455405423348,1.3365455405423348,1.9405359139788003,1.3365455405423348,3.6237102262806395,2.4442604867282895,0.0,0.7189136435137016,3.614307344835513,EN_L3_5_IT_2,50.0,PsychAD-V3,81,20+,5.478448678152179,1.5921321115160545,3.8863165666361246
