dataset,individual,subtype,age,chem,subsource,ncells,log10_total,score_sum,score_mean
PsychAD,Donor_1125,EN_L3_5_IT_2,13.0,V3,PSYCHAD,77,6.440971546742889,1103.0403210944332,1068.6289794912725
PsychAD,Donor_1125,EN_L3_5_IT_3,13.0,V3,PSYCHAD,37,6.132752315050202,1016.63114023568,968.5490056385432
PsychAD,Donor_1132,EN_L2_3_IT,12.0,V3,PSYCHAD,358,7.260051080663925,1014.1316728476858,952.4314613526795
PsychAD,Donor_1139,EN_L2_3_IT,10.0,V3,PSYCHAD,101,6.605920058556169,1035.4281329230662,1010.6439179716084
PsychAD,Donor_1139,EN_L3_5_IT_2,10.0,V3,PSYCHAD,21,5.832706854780794,1116.519813186325,1062.2479462783544
PsychAD,Donor_1139,EN_L3_5_IT_3,10.0,V3,PSYCHAD,31,6.0592854107615794,1030.3557548470324,989.8761643903172
PsychAD,Donor_1139,EN_L6_IT_1,10.0,V3,PSYCHAD,21,6.024143597950416,1036.1772316509694,987.7259224949086
PsychAD,Donor_1144,EN_L2_3_IT,16.0,V3,PSYCHAD,236,6.8477067515359655,1033.5769694114374,977.7615226063793
PsychAD,Donor_1194,EN_L2_3_IT,13.0,V3,PSYCHAD,412,7.143833968940837,1040.7691276571793,1000.4520517584267
PsychAD,Donor_1194,EN_L3_5_IT_1,13.0,V3,PSYCHAD,25,5.824920769897321,1010.5946976931964,945.681308057157
PsychAD,Donor_1194,EN_L3_5_IT_2,13.0,V3,PSYCHAD,72,6.304612440559724,1098.6295317849217,1048.1805076920973
PsychAD,Donor_1194,EN_L3_5_IT_3,13.0,V3,PSYCHAD,46,6.157783650394699,1006.8353436527788,981.2431758772204
PsychAD,Donor_1211,EN_L2_3_IT,18.0,V3,PSYCHAD,36,6.237856779764952,1023.8143109666972,975.3277879741763
PsychAD,Donor_1211,EN_L3_5_IT_1,18.0,V3,PSYCHAD,20,5.804137386987605,944.0328908476519,911.7766008469131
PsychAD,Donor_1211,EN_L3_5_IT_2,18.0,V3,PSYCHAD,35,6.069477542627527,1053.3006892008675,999.4466779934229
PsychAD,Donor_1211,EN_L3_5_IT_3,18.0,V3,PSYCHAD,63,6.38678477458707,986.2844787459987,954.3752394054002
PsychAD,Donor_1211,EN_L6_CT,18.0,V3,PSYCHAD,22,5.882206242293166,781.0037282255637,718.8967835133498
PsychAD,Donor_1211,EN_L6_IT_1,18.0,V3,PSYCHAD,31,6.176224711720277,984.0327304134514,951.2068386120442
